0,8196058
1,8196058
2,8195342
3,8196173
4,8196173
5,8196285
6,8196285
7,8195682
8,8196324
9,8196324
10,8195760
11,8195572
12,8195886
13,8195886
14,8195889
15,8196402
16,8196402
17,8195353
18,8196119
19,8195299
20,8195937
21,8196012
22,8196606
23,8195979
24,8196567
25,8195706
26,8196249
27,8196309
28,8195717
29,8196519
30,8195973
31,8195547
32,8195666
33,8196429
34,8196163
35,8195897
36,8196575
37,8195188
38,8195419
39,8195168
40,8196605
41,8196251
42,8195599
43,8195737
44,8196572
45,8195449
46,8195274
47,8195470
48,8196313
49,8195695
50,8195216
51,8196983
52,8195362
53,8195782
54,8196000
55,8196543
56,8195790
57,8195873
58,8195393
59,8196259
60,8195406
61,8195502
62,8195655
63,8196196
64,8196520
65,8195730
66,8196338
67,8196411
68,8196539
69,8196378
70,8196467
71,8196359
72,8195363
73,8196327
74,8195589
75,8196590
76,8196099
77,8195514
78,8195612
79,8196497
80,8196335
81,8196136
82,8195445
83,8196455
84,8195356
85,8196381
86,8195859
87,8195476
88,8196369
89,8195490
90,8195466
91,8195908
92,8195429
93,8195822
94,8196506
95,8196263
96,8195709
97,8195520
98,8196502
99,8195700
100,8195816
101,8196230
102,8196586
103,8196997
104,8195477
105,8195818
106,8196509
107,8196284
108,8195742
109,8195340
110,8195627
111,8196513
112,8195663
113,8196194
114,8196200
115,8196067
116,8196640
117,8195497
118,8196008
119,8195641
120,8195399
121,8195492
122,8196489
123,8195711
124,8196535
125,8196491
126,8195639
127,8196678
128,8196977
129,8195691
130,8196120
131,8196087
132,8196289
133,8196425
134,8196526
135,8195478
136,8195238
137,8196487
138,8196667
139,8195980
140,8195929
141,8196143
142,8195634
143,8195770
144,8195620
145,8196616
146,8196564
147,8196228
148,8195636
149,8196633
150,8195456
151,8196042
152,8195267
153,8195661
154,8196551
155,8196095
156,8196473
157,8195588
158,8195727
159,8196107
160,8195909
161,8196139
162,8196075
163,8195846
164,8195586
165,8195458
166,8196620
167,8195806
168,8195960
169,8195431
170,8196661
171,8196217
172,8196232
173,8195595
174,8195199
175,8196652
176,8195380
177,8195481
178,8196235
179,8195326
180,8196440
181,8196274
182,8195849
183,8195331
184,8196656
185,8196510
186,8196377
187,8195788
188,8196098
189,8195307
190,8196660
191,8195529
192,8196104
193,8195439
194,8196070
195,8195395
196,8195839
197,8196626
198,8195602
199,8195418
200,8196380
201,8196966
202,8195455
203,8195891
204,8196994
205,8196462
206,8196666
207,8195611
208,8196441
209,8195323
210,8196144
211,8195320
212,8195921
