,priority,starid,lightcurve,elaptime,mean_flux,variance,variability,rms_hour,ptp,pos_row,pos_column,contamination,mask_size,stamp_width,stamp_height,stamp_resizes,errors,tmag,folder,cbv_rms,ens_rms,ens_Fp_0.0,cbv_Fp_0.0,ens_Fp_0.2,cbv_Fp_0.2,ens_Fp_0.7,cbv_Fp_0.7,ens_Fp_7,cbv_Fp_7,ens_Fp_20,cbv_Fp_20,ens_Fp_50,cbv_Fp_50
0,8623,8196058,ffi/00008/tess00008196058-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.0870527252554893,83394.3828125,4.810623250261765e-05,66.71734218582264,0.001462534933629482,0.0002076915964344117,1807.0258424671906,130.67817983268642,0.03731363792679654,93.0,17,17,0,,8.180000305175781,00008,1121.5864638254159,1407.1933257562653,2.9388983309495864,1.9524206080999138,2.9388983309495864,1.9524206080999138,2.942540571615833,1.9553023980939324,0.9534222983240599,0.8475395979198881,0.38767788073417037,0.37813985824522883,0.19639320444656566,0.15697670984711615
1,8623,8196058,ffi/00008/tess00008196058-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.0870527252554893,83394.3828125,4.810623250261765e-05,66.71734218582264,0.001462534933629482,0.0002076915964344117,1807.0258424671906,130.67817983268642,0.03731363792679654,93.0,17,17,0,,8.180000305175781,00008,1121.5864638254159,1407.1933257562653,2.9388983309495864,1.9524206080999138,2.9388983309495864,1.9524206080999138,2.942540571615833,1.9553023980939324,0.9534222983240599,0.8475395979198881,0.38767788073417037,0.37813985824522883,0.19639320444656566,0.15697670984711615
2,17468,8195342,ffi/00008/tess00008195342-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.272227354347706,42088.4609375,0.0019724593886772043,280.1865660869029,0.06717674638900666,0.0005050745982745353,1501.394774801718,63.55296194403568,0.18958439368906244,60.0,15,15,0,,8.961000442504883,00008,13093.986104065083,67176.74638900535,2.3601615903947812e+27,0.21550154658225912,2.3601615903947812e+27,0.21550154658225912,2.245682371097613e+27,0.1946212975602142,9.434940237859959e+25,0.06213293614994799,6.70964717437277e+25,0.020690324474217453,5.8314546516383005e+25,0.008501534709992403
3,17832,8196173,ffi/00008/tess00008196173-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.709578724578023,41913.1328125,5.6046176100480015e-05,49.39405883467412,0.0012460767355774243,0.00024185065801085592,1843.9009438697476,145.96382459923882,0.06660386204723101,64.0,15,15,0,,8.986000061035156,00008,414.6072402455039,1175.7841928352516,4.037754174397776,8.249908966048277,4.037754174397776,8.249908966048277,2.7184733453728427,6.939597129649014,0.28880412235194375,2.41200985084721,0.2404468005340744,1.3157839697668576,0.17325215924563087,0.7421501715054224
4,17832,8196173,ffi/00008/tess00008196173-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.709578724578023,41913.1328125,5.6046176100480015e-05,49.39405883467412,0.0012460767355774243,0.00024185065801085592,1843.9009438697476,145.96382459923882,0.06660386204723101,64.0,15,15,0,,8.986000061035156,00008,414.6072402455039,1175.7841928352516,4.037754174397776,8.249908966048277,4.037754174397776,8.249908966048277,2.7184733453728427,6.939597129649014,0.28880412235194375,2.41200985084721,0.2404468005340744,1.3157839697668576,0.17325215924563087,0.7421501715054224
5,19299,8196285,ffi/00008/tess00008196285-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.3466222416609526,44202.216796875,5.040873828763213e-05,46.978389304703924,0.0017267246466212587,0.000253451654958603,1889.0864284344868,147.85446158169387,0.1626896224542721,80.0,15,15,0,,9.081999778747559,00008,315.23290324148724,1003.7024539206625,1.735783543027642,40.5731841713865,1.735783543027642,40.5731841713865,1.6390420939595063,40.0753943282499,0.2822657787351278,25.06854753553041,0.24156723478857456,16.392463071006343,0.2299345937502314,10.810657504107226
6,19299,8196285,ffi/00008/tess00008196285-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.3466222416609526,44202.216796875,5.040873828763213e-05,46.978389304703924,0.0017267246466212587,0.000253451654958603,1889.0864284344868,147.85446158169387,0.1626896224542721,80.0,15,15,0,,9.081999778747559,00008,315.23290324148724,1003.7024539206625,1.735783543027642,40.5731841713865,1.735783543027642,40.5731841713865,1.6390420939595063,40.0753943282499,0.2822657787351278,25.06854753553041,0.24156723478857456,16.392463071006343,0.2299345937502314,10.810657504107226
7,22734,8195682,ffi/00008/tess00008195682-s01-c1800-dr01-v04-tasoc_lc.fits.gz,3.854571657255292,32165.4931640625,8.17926041400557e-05,50.52199991406621,0.002890756683146401,0.0032507055415467168,1663.4257618913634,85.59563562662491,0.021434838104201437,65.0,15,15,0,,9.279999732971191,00008,2336.1386361967243,3629.0293123078513,835.2220722310462,3.2147949117223376,835.2220722310462,3.2147949117223376,789.0735142222288,3.2175000272549528,462.8113278534156,3.2180246161943917,409.2612315773109,2.9681274870906913,459.89322937569887,3.346601417737215
8,24754,8196324,ffi/00008/tess00008196324-s01-c1800-dr01-v04-tasoc_lc.fits.gz,2.790359603241086,27742.6240234375,6.015399061336632e-05,39.07965467522656,0.004540893644413484,0.00028850573915550903,1904.75584298406,143.96172607559595,0.03385742015235682,50.0,15,15,0,,9.38700008392334,00008,1194.7793204964191,4468.786106008517,29.22864706348314,1.3288778282402296,29.22864706348314,1.3288778282402296,11.527289100011526,1.0064521053614288,4.820462061716303,0.49535729086391656,4.241166414194096,0.2946053444874285,3.3017902990732155,0.1771028550838634
9,24754,8196324,ffi/00008/tess00008196324-s01-c1800-dr01-v04-tasoc_lc.fits.gz,2.790359603241086,27742.6240234375,6.015399061336632e-05,39.07965467522656,0.004540893644413484,0.00028850573915550903,1904.75584298406,143.96172607559595,0.03385742015235682,50.0,15,15,0,,9.38700008392334,00008,1194.7793204964191,4468.786106008517,29.22864706348314,1.3288778282402296,29.22864706348314,1.3288778282402296,11.527289100011526,1.0064521053614288,4.820462061716303,0.49535729086391656,4.241166414194096,0.2946053444874285,3.3017902990732155,0.1771028550838634
